Ticker,Buy,Confidence
TRENT.NS,Yes,99.99
TITAN.NS,Yes,98.73
AXISBANK.NS,Yes,95.05
CHOLAFIN.NS,Yes,92.13
DRREDDY.NS,Yes,89.48
TECHM.NS,No,25.85
VEDL.NS,No,6.63
INDUSTOWER.NS,No,3.89
LT.NS,No,3.38
NMDC.NS,No,3.32
HCLTECH.NS,No,2.22
HDFCLIFE.NS,No,2.15
LICHSGFIN.NS,No,2.04
SBILIFE.NS,No,1.64
ICICIGI.NS,No,1.49
ONGC.NS,No,0.98
HINDALCO.NS,No,0.77
BANDHANBNK.NS,No,0.72
GODREJCP.NS,No,0.67
AUROPHARMA.NS,No,0.58
ABB.NS,No,0.5
ALKEM.NS,No,0.49
TCS.NS,No,0.43
COALINDIA.NS,No,0.32
MARUTI.NS,No,0.31
BAJAJHLDNG.NS,No,0.31
TVSMOTOR.NS,No,0.31
SIEMENS.NS,No,0.19
BAJAJ-AUTO.NS,No,0.16
SAIL.NS,No,0.16
ICICIBANK.NS,No,0.13
BANKBARODA.NS,No,0.1
ADANIENT.NS,No,0.09
APOLLOHOSP.NS,No,0.08
ITC.NS,No,0.06
RECLTD.NS,No,0.06
ZEEL.NS,No,0.06
IGL.NS,No,0.05
UBL.NS,No,0.05
GAIL.NS,No,0.04
SRF.NS,No,0.04
BHARTIARTL.NS,No,0.03
POWERGRID.NS,No,0.03
GRASIM.NS,No,0.03
COLPAL.NS,No,0.03
KOTAKBANK.NS,No,0.02
WIPRO.NS,No,0.02
DIVISLAB.NS,No,0.02
CANBK.NS,No,0.02
RELIANCE.NS,No,0.01
INFY.NS,No,0.01
SBIN.NS,No,0.01
BAJFINANCE.NS,No,0.01
SUNPHARMA.NS,No,0.01
NTPC.NS,No,0.01
ULTRACEMCO.NS,No,0.01
INDUSINDBK.NS,No,0.01
BAJAJFINSV.NS,No,0.01
NESTLEIND.NS,No,0.01
CIPLA.NS,No,0.01
BPCL.NS,No,0.01
BRITANNIA.NS,No,0.01
HEROMOTOCO.NS,No,0.01
UPL.NS,No,0.01
ACC.NS,No,0.01
ADANIGREEN.NS,No,0.01
BERGEPAINT.NS,No,0.01
BIOCON.NS,No,0.01
IDEA.NS,No,0.01
IOC.NS,No,0.01
MARICO.NS,No,0.01
MOTHERSON.NS,No,0.01
MRF.NS,No,0.01
PAGEIND.NS,No,0.01
PIDILITIND.NS,No,0.01
PNB.NS,No,0.01
TORNTPHARM.NS,No,0.01
VOLTAS.NS,No,0.01
HDFCBANK.NS,No,0
HINDUNILVR.NS,No,0
ASIANPAINT.NS,No,0
JSWSTEEL.NS,No,0
TATAMOTORS.NS,No,0
TATASTEEL.NS,No,0
ADANIPORTS.NS,No,0
EICHERMOT.NS,No,0
SHREECEM.NS,No,0
M&M.NS,No,0
ICICIPRULI.NS,No,0
AMBUJACEM.NS,No,0
BOSCHLTD.NS,No,0
DABUR.NS,No,0
DIXON.NS,No,0
HAVELLS.NS,No,0
ICICIPRULI.NS,No,0
INDIGO.NS,No,0
NHPC.NS,No,0
PEL.NS,No,0
