Ticker,Buy,Confidence
NVDA,No,0.0
MSFT,No,0.01
AAPL,No,0.0
AMZN,No,0.01
GOOGL,No,0.01
META,No,0.01
TSLA,Yes,92.96
JPM,No,0.03
WMT,No,8.39
LLY,No,0.01
V,No,0.02
ORCL,No,0.05
NFLX,No,0.54
MA,No,0.01
XOM,No,0.01
UNH,No,0.04
BAC,No,0.05
PFE,No,0.0
ABBV,No,0.01
CSCO,No,0.0
PEP,No,0.02
MRK,No,0.01
COST,No,0.09
MCD,No,0.02
AVGO,No,0.03
NKE,No,0.01
CRM,No,3.11
HON,No,0.01
WFC,No,0.0
C,No,0.0
TXN,No,0.0
ABT,No,0.31
ACN,Yes,65.64
MDT,No,0.01
PM,No,0.04
BMY,No,0.0
VZ,No,0.39
LIN,No,0.0
LOW,No,0.0
UPS,No,0.01
RTX,No,0.41
DHR,No,0.02
UNP,No,0.01
TMO,No,0.02
MS,No,0.0
SCHW,No,0.0
NEE,No,0.06
CVX,No,0.05
PNC,No,0.0
