Ticker,Buy,Confidence
NVDA,No,1.82
MSFT,No,0.0
AAPL,No,0.2
AMZN,No,0.01
GOOGL,No,0.01
META,Yes,75.09
TSLA,No,0.49
JPM,No,5.93
WMT,No,19.64
LLY,No,0.31
V,No,0.11
ORCL,No,4.64
NFLX,Yes,56.16
MA,No,0.19
XOM,No,0.15
UNH,No,46.36
BAC,No,33.31
PFE,No,3.58
ABBV,No,0.07
CSCO,No,0.11
PEP,No,0.0
MRK,No,0.01
COST,No,38.26
MCD,No,0.01
AVGO,No,0.87
NKE,No,0.16
CRM,Yes,58.38
HON,No,0.0
WFC,Yes,51.66
C,No,0.03
TXN,No,0.02
ABT,No,0.04
ACN,Yes,96.01
MDT,No,0.01
PM,No,0.03
BMY,No,0.2
VZ,No,1.18
LIN,No,0.42
LOW,No,19.91
UPS,No,7.39
RTX,No,0.02
DHR,Yes,68.37
UNP,No,0.08
TMO,No,0.13
MS,No,1.15
SCHW,No,0.45
NEE,No,0.09
CVX,No,1.27
PNC,No,0.01
