Ticker,Buy,Confidence
RELIANCE.NS,Yes,95.92
HDFCBANK.NS,No,0.0
ICICIBANK.NS,No,0.28
INFY.NS,Yes,59.91
TCS.NS,No,1.24
LT.NS,No,0.08
ITC.NS,No,36.44
KOTAKBANK.NS,No,0.2
HINDUNILVR.NS,No,0.4
AXISBANK.NS,Yes,56.24
SBIN.NS,No,0.45
BHARTIARTL.NS,No,0.0
BAJFINANCE.NS,No,0.2
ASIANPAINT.NS,No,1.9
MARUTI.NS,No,2.41
HCLTECH.NS,Yes,59.21
SUNPHARMA.NS,No,0.08
NTPC.NS,No,0.17
TITAN.NS,No,3.3
ONGC.NS,No,34.4
ULTRACEMCO.NS,Yes,94.8
POWERGRID.NS,No,0.12
ADANIENT.NS,No,0.38
JSWSTEEL.NS,No,0.13
WIPRO.NS,No,0.58
TATAMOTORS.NS,No,0.14
INDUSINDBK.NS,No,1.09
BAJAJFINSV.NS,No,0.75
HINDALCO.NS,No,0.1
GRASIM.NS,No,0.18
TECHM.NS,Yes,55.84
DIVISLAB.NS,No,35.42
NESTLEIND.NS,Yes,99.86
TATASTEEL.NS,No,36.53
CIPLA.NS,No,0.33
ADANIPORTS.NS,Yes,95.73
DRREDDY.NS,No,0.1
BPCL.NS,No,0.21
SBILIFE.NS,No,0.34
BRITANNIA.NS,No,0.21
EICHERMOT.NS,No,1.28
HEROMOTOCO.NS,No,3.29
COALINDIA.NS,No,5.18
BAJAJ-AUTO.NS,No,22.63
HDFCLIFE.NS,No,0.01
SHREECEM.NS,No,0.02
APOLLOHOSP.NS,No,0.51
M&M.NS,No,0.83
ICICIPRULI.NS,No,27.03
UPL.NS,No,0.08
ABB.NS,No,4.36
ACC.NS,Yes,88.81
ADANIGREEN.NS,No,13.02
ALKEM.NS,No,4.44
AMBUJACEM.NS,No,0.25
AUROPHARMA.NS,No,0.32
BAJAJHLDNG.NS,No,2.22
BANDHANBNK.NS,No,3.01
BANKBARODA.NS,No,0.3
BERGEPAINT.NS,No,1.53
BIOCON.NS,No,0.16
BOSCHLTD.NS,No,7.37
CANBK.NS,No,0.33
CHOLAFIN.NS,No,6.78
COLPAL.NS,Yes,99.44
DABUR.NS,No,2.23
DIXON.NS,No,47.34
GAIL.NS,No,0.07
GODREJCP.NS,Yes,90.4
HAVELLS.NS,No,0.29
ICICIGI.NS,Yes,67.01
ICICIPRULI.NS,No,33.23
IDEA.NS,Yes,86.85
IGL.NS,Yes,96.2
INDIGO.NS,No,4.5
INDUSTOWER.NS,No,0.1
IOC.NS,No,0.22
LICHSGFIN.NS,No,0.36
MARICO.NS,Yes,80.39
MOTHERSON.NS,No,0.01
MRF.NS,No,0.35
NHPC.NS,No,9.1
NMDC.NS,No,0.27
PAGEIND.NS,No,0.1
PEL.NS,No,1.07
PIDILITIND.NS,No,0.03
PNB.NS,No,23.56
RECLTD.NS,No,43.78
SAIL.NS,No,0.03
SIEMENS.NS,No,0.45
SRF.NS,No,0.11
TORNTPHARM.NS,No,4.36
TRENT.NS,No,27.88
TVSMOTOR.NS,No,0.14
UBL.NS,No,13.5
VEDL.NS,No,8.71
VOLTAS.NS,Yes,78.6
ZEEL.NS,Yes,98.12
